team,season,squad,age,foreigners,market_value,total_market_value
Malaga,2018,39,26.4,20,1220000,47400000
Las Palmas,2018,40,27.4,9,929000,37150000
Deportivo La Coruna,2018,33,27.6,9,1120000,36850000
Granada CF,2018,30,26.2,6,1040000,31100000
Sporting Gijon,2018,36,25.0,10,819000,29500000
Cadiz,2018,39,26.7,12,744000,29000000
Osasuna,2018,32,25.8,0,898000,28750000
Tenerife,2018,33,26.5,10,783000,25850000
Albacete,2018,38,25.6,17,655000,24900000
Almeria,2018,37,25.5,10,604000,22350000
Mallorca,2018,38,25.7,14,575000,21850000
Zaragoza,2018,35,25.9,10,621000,21750000
Extremadura,2018,48,27.0,12,399000,19150000
Lugo,2018,41,25.3,10,459000,18800000
Cordoba,2018,41,25.6,8,415000,17000000
Rayo Majadahonda,2018,33,26.2,5,506000,16700000
Gimnastic,2018,49,25.5,18,339000,16600000
Oviedo,2018,31,26.6,7,527000,16350000
Elche,2018,40,27.1,7,404000,16150000
Numancia,2018,37,25.7,5,434000,16050000
Alcorcon,2018,38,26.9,5,346000,13150000
Reus,2018,27,25.2,5,333000,9000000
Girona,2019,37,26.1,10,1120000,41430000
Rayo Vallecano,2019,42,25.4,12,904000,37980000
Deportivo La Coruna,2019,42,26.0,15,833000,35000000
Las Palmas,2019,43,26.3,10,786000,33800000
Almeria,2019,44,24.5,17,763000,33550000
Huesca,2019,32,25.8,7,959000,30680000
Zaragoza,2019,36,25.3,12,705000,25380000
Cadiz,2019,41,26.5,12,523000,21450000
Malaga,2019,37,24.2,12,542000,20050000
Sporting Gijon,2019,33,25.6,7,589000,19430000
Oviedo,2019,35,26.6,7,464000,16250000
Elche,2019,35,25.3,5,449000,15700000
Albacete,2019,37,26.4,12,406000,15030000
Tenerife,2019,31,25.8,7,473000,14680000
Mirandes,2019,31,25.5,13,440000,13630000
Lugo,2019,37,25.8,11,336000,12450000
Racing Santander,2019,37,26.6,7,314000,11630000
Numancia,2019,37,25.0,5,299000,11080000
Alcorcon,2019,32,26.4,8,332000,10630000
Ponferradina,2019,33,26.7,8,321000,10600000
Extremadura,2019,36,26.6,9,292000,10500000
Fuenlabrada,2019,35,26.3,7,296000,10350000
Espanyol,2020,37,24.2,7,2160000,80000000
Almeria,2020,35,24.2,18,2020000,70600000
Mallorca,2020,39,25.5,13,1310000,50950000
Girona,2020,40,24.7,13,908000,36330000
Leganes,2020,39,26.2,10,884000,34480000
Rayo Vallecano,2020,36,25.5,11,829000,29850000
Sporting Gijon,2020,37,24.5,6,646000,23900000
Zaragoza,2020,38,24.7,12,609000,23150000
Las Palmas,2020,42,24.8,8,485000,20350000
Malaga,2020,48,23.7,15,422000,20280000
Mirandes,2020,35,23.7,7,479000,16750000
Fuenlabrada,2020,34,24.6,10,435000,14800000
Tenerife,2020,38,25.5,10,361000,13700000
Oviedo,2020,34,25.2,6,399000,13550000
FC Cartagena,2020,43,27.0,14,306000,13150000
Ponferradina,2020,34,25.3,8,338000,11500000
Albacete,2020,36,25.9,11,282000,10150000
Castellón,2020,36,27.4,4,278000,10000000
UD Logroñés,2020,36,26.3,6,264000,9500000
Lugo,2020,36,25.9,7,245000,8830000
Alcorcon,2020,34,26.0,8,249000,8450000
Sabadell,2020,33,26.5,2,217000,7150000
Almeria,2021,25,25.7,10,2300000,57400000
Valladolid,2021,26,27.4,5,1800000,46800000
Leganes,2021,28,27.4,8,1300000,36500000
Real Sociedad II,2021,29,21.2,4,1060000,30750000
Eibar,2021,25,28.8,5,1190000,29800000
Huesca,2021,24,27.6,6,1230000,29600000
Sporting Gijon,2021,26,25.5,6,1090000,28350000
Girona,2021,25,24.7,7,1120000,27900000
Zaragoza,2021,23,26.6,5,1090000,25000000
Malaga,2021,28,24.9,6,832000,23300000
Las Palmas,2021,28,25.6,6,832000,23300000
Mirandes,2021,25,23.5,5,760000,19000000
Tenerife,2021,25,27.2,5,756000,18900000
Oviedo,2021,24,26.6,5,783000,18800000
Fuenlabrada,2021,26,26.7,9,592000,15400000
Ponferradina,2021,25,26.4,6,580000,14500000
FC Cartagena,2021,24,29.3,10,521000,12500000
Ibiza,2021,25,28.2,4,448000,11200000
Amorebieta,2021,27,28.4,0,380000,10250000
Burgos,2021,24,27.9,1,333000,8000000
Lugo,2021,25,27.8,3,296000,7400000
Alcorcon,2021,26,28.0,6,262000,6800000
